term,corpus_count,School,Field,Year,PDF,left_context,matched_term,right_context
kuo,37,SBE,Building_Technology,2018,a_review_2018.pdf,AEC industry Dun ston 2008,Kuo,Jeng and Yang 2013 stated
niu,34,SBE,Building_Technology,2018,a_review_2018.pdf,X Li M Li W,Niu,L Xian B Zeng M
kimura,37,SBE,Building_Technology,2018,calibrating_cellular_automaton_models_for_pedestrians_walking_through_corners_2018.pdf,2009 32 D Yanagisawa A,Kimura,A Tomoeda R Nishi Y
ere,72,SBE,Building_Technology,2018,immersive_virtual_reality_serious_games_for_evacuation_training_and_research_2018.pdf,were excluded if there w,ere,no IVR SG based evacuation
eme,33,SBE,Building_Technology,2018,immersive_virtual_reality_serious_games_for_evacuation_training_and_research_2018.pdf,Serious Game Techniques to Simulate,Eme,rgency Situations GeoInfo 121 182
pape,18,SBE,Building_Technology,2018,immersive_virtual_reality_serious_games_for_evacuation_training_and_research_2018.pdf,the literature In the reviewed,pape,rs both teaching methods were
tanaka,65,SBE,Building_Technology,2018,investigating_pedestrian_navigation_in_indoor_open_space_environments_using_big_data_2018.pdf,M Asano M Kuwahara S,Tanaka,Multi directional pedestrian ﬂow model
ata,52,SBE,Building_Technology,2018,people_choice_modelling_for_evacuation_of_tall_buildings_2018.pdf,decide to observe the situation,ata,lift lobby and those who
ine,66,SBE,Building_Technology,2018,prototyping_virtual_reality_serious_games_for_earthquake_preparedness_2018.pdf,2 show s the pipel,ine,described in this paragraph Figure
ome,44,SBE,Building_Technology,2018,prototyping_virtual_reality_serious_games_for_earthquake_preparedness_2018.pdf,when their equilibrium conditions bec,ome,unstable Figure 5 Earthquake force
aei,43,SBE,Building_Technology,2018,prototyping_virtual_reality_serious_games_for_earthquake_preparedness_2018.pdf,611 doi 10 1016 j,aei,2011 08 001 19 L
māori,41,SBE,Building_Technology,2018,prototyping_virtual_reality_serious_games_for_earthquake_preparedness_2018.pdf,African Asian European Latin American,Māori,Middle Eastern Other Ethnicity Medical
rahouti,29,SBE,Building_Technology,2018,prototyping_virtual_reality_serious_games_for_earthquake_preparedness_2018.pdf,TVCG 2015 2391853 20 A,Rahouti,G Salze R Lovreglio S
roa,16,SBE,Building_Technology,2018,prototyping_virtual_reality_serious_games_for_earthquake_preparedness_2018.pdf,at emergency exit portals for,roa,d tunnel evacuation Fire Technol
ite,28,SBE,Building_Technology,2018,queue_formation_and_evacuation_modelling_in_road_tunnels_during_fires_2018.pdf,Institute of Trans portation Engineers,ITE,Journal 59 3 19 21
hou,90,SBE,Building_Technology,2019,a_modelling_framework_for_householder_decision_making_for_wildfire_emergencies_2019.pdf,connects external physical conditions with,hou,seholder decision making and their
ome,44,SBE,Building_Technology,2019,a_modelling_framework_for_householder_decision_making_for_wildfire_emergencies_2019.pdf,challenges in determining the outc,ome,of an wildfire incident is
ue,43,SBE,Building_Technology,2019,a_modelling_framework_for_householder_decision_making_for_wildfire_emergencies_2019.pdf,5 This is likely d,ue,to the lack of a
pii,35,SBE,Building_Technology,2019,a_modelling_framework_for_householder_decision_making_for_wildfire_emergencies_2019.pdf,Kuligowski S Gwynne K Strahan,PII,S2212 4209 19 30041 X
ime,21,SBE,Building_Technology,2019,a_modelling_framework_for_householder_decision_making_for_wildfire_emergencies_2019.pdf,to leave and the t,ime,to start leaving Most wildfire
pone,117,SBE,Building_Technology,2019,computational_quantification_of_brain_perivascular_space_morphologies_2019.pdf,8 doi 10 1371 journal,pone,0105505 Zhu Y C Tzourio
ure,78,SBE,Building_Technology,2019,computational_quantification_of_brain_perivascular_space_morphologies_2019.pdf,native T2w space INSERT FIG,URE,1 ABOUT HERE INSERT FIGURE
ere,72,SBE,Building_Technology,2019,computational_quantification_of_brain_perivascular_space_morphologies_2019.pdf,computational PVS segmentation data w,ere,younger by average 51 days
ome,44,SBE,Building_Technology,2019,computational_quantification_of_brain_perivascular_space_morphologies_2019.pdf,harmonization This study has s,ome,limitations The visual rating puts
akaike,43,SBE,Building_Technology,2019,computational_quantification_of_brain_perivascular_space_morphologies_2019.pdf,evaluate the models using the,Akaike,and Bayesian Information Criterion AIC
pii,35,SBE,Building_Technology,2019,computational_quantification_of_brain_perivascular_space_morphologies_2019.pdf,Ian J Deary Joanna Wardlaw,PII,S2213 1582 19 30467 X
neto,20,SBE,Building_Technology,2019,computational_quantification_of_brain_perivascular_space_morphologies_2019.pdf,as per Ferrari and Cribari,Neto,2004 where n is the
inoue,26,SBE,Building_Technology,2019,prediction_of_kiwifruit_orchard_characteristics_from_satellite_images_2019.pdf,rice Tian et al 2005,Inoue,et al 2014 corn alfalfa
moreira,22,SBE,Building_Technology,2019,prediction_of_kiwifruit_orchard_characteristics_from_satellite_images_2019.pdf,3 161 171 Bernardes T,Moreira,M A Adami M Giarolla
aei,43,SBE,Building_Technology,2019,proposing_behavior_oriented_strategies_for_earthquake_emergency_evacuation_2019.pdf,doi 10 1 016 j,aei,2018 08 018 778 Lovreglio
eme,33,SBE,Building_Technology,2019,proposing_behavior_oriented_strategies_for_earthquake_emergency_evacuation_2019.pdf,improve existing behavioral models and,eme,rgency reaction theories On one
mora,33,SBE,Building_Technology,2019,proposing_behavior_oriented_strategies_for_earthquake_emergency_evacuation_2019.pdf,better emergency actions Kaigo 2012,Mora,et al 2015 This goal
inoue,26,SBE,Building_Technology,2019,proposing_behavior_oriented_strategies_for_earthquake_emergency_evacuation_2019.pdf,et al 2017 Ikeda and,Inoue,2016 Kaigo 20 12 Mora
ure,78,SBE,Building_Technology,2019,the_impact_of_sampling_methods_on_evacuation_model_convergence_and_egress_time_2019.pdf,to reach the criteria Fig,ure,7 illustrate s box plots
ture,73,SBE,Building_Technology,2019,the_impact_of_sampling_methods_on_evacuation_model_convergence_and_egress_time_2019.pdf,been raised in the litera,ture,31 32 regarding which sampling
kimura,37,SBE,Building_Technology,2019,the_impact_of_sampling_methods_on_evacuation_model_convergence_and_egress_time_2019.pdf,For instance the work by,Kimura,and Sime 36 in which
teo,33,SBE,Building_Technology,2019,the_impact_of_sampling_methods_on_evacuation_model_convergence_and_egress_time_2019.pdf,Ko M Spearpoi nt A,Teo,Trial evacuation of an industrial
ano,22,SBE,Building_Technology,2019,the_impact_of_sampling_methods_on_evacuation_model_convergence_and_egress_time_2019.pdf,the convergence criteria using an,ANO,VA test The effect size
ime,21,SBE,Building_Technology,2019,the_impact_of_sampling_methods_on_evacuation_model_convergence_and_egress_time_2019.pdf,Model Convergence and Egress T,ime,Article in Reliability Engineering Syst
ute,25,SBE,Building_Technology,2019,towards_microscopic_calibration_of_pedestrian_simulation_models_using_open_trajectory_data_sets_2019.pdf,Ben Song Massachuse tts Instit,ute,of T echnolog y 22
nakano,20,SBE,Building_Technology,2019,towards_microscopic_calibration_of_pedestrian_simulation_models_using_open_trajectory_data_sets_2019.pdf,Iryo Asano M Shimono K,Nakano,K Calibration of a social
ere,72,SBE,Building_Technology,2020,an_immersive_virtual_reality_serious_game_to_enhance_earthquake_behavioral_responses_and_post_earthquake_evacuation_preparedness_in_buildings_2020.pdf,decision and further action w,ere,recommended or not If participants
ara,63,SBE,Building_Technology,2020,an_immersive_virtual_reality_serious_game_to_enhance_earthquake_behavioral_responses_and_post_earthquake_evacuation_preparedness_in_buildings_2020.pdf,McSaveney E 2017 Earthquakes Te,Ara,the Encyclopedia of New Zealand
moreno,43,SBE,Building_Technology,2020,an_immersive_virtual_reality_serious_game_to_enhance_earthquake_behavioral_responses_and_post_earthquake_evacuation_preparedness_in_buildings_2020.pdf,outcome s Bellotti Kapralos Lee,Moreno,Ger Berta 2013 SGs have
eme,33,SBE,Building_Technology,2020,an_immersive_virtual_reality_serious_game_to_enhance_earthquake_behavioral_responses_and_post_earthquake_evacuation_preparedness_in_buildings_2020.pdf,R 2015 Serious games for,eme,rgency preparedness Evaluation of an
ame,25,SBE,Building_Technology,2020,an_immersive_virtual_reality_serious_game_to_enhance_earthquake_behavioral_responses_and_post_earthquake_evacuation_preparedness_in_buildings_2020.pdf,Current Practices in Serious G,ame,Research A Review from a
neto,20,SBE,Building_Technology,2020,an_immersive_virtual_reality_serious_game_to_enhance_earthquake_behavioral_responses_and_post_earthquake_evacuation_preparedness_in_buildings_2020.pdf,J Jacob João Tiago Pinheiro,Neto,Faria B M Coelho A
aei,43,SBE,Building_Technology,2020,an_online_survey_of_pedestrian_evacuation_model_usage_and_users_2020.pdf,doi org 10 1016 j,aei,2018 08 018 17 Thunderhead
teo,33,SBE,Building_Technology,2020,an_online_survey_of_pedestrian_evacuation_model_usage_and_users_2020.pdf,39 Ko S Spearpoint M,Teo,A 2007 Trial evacuation of
automa,17,SBE,Building_Technology,2020,an_online_survey_of_pedestrian_evacuation_model_usage_and_users_2020.pdf,like to be able to,automa,g415cally do hand calcula g415ons
pone,117,SBE,Building_Technology,2020,augmented_reality_for_pedestrian_evacuation_research_2020.pdf,doi org 10 1371 journal,pone,0210630 Iguchi K Mitsuhara H
aei,43,SBE,Building_Technology,2020,augmented_reality_for_pedestrian_evacuation_research_2020.pdf,doi org 10 1016 j,aei,2011 08 001 Saunders J
kato,27,SBE,Building_Technology,2020,augmented_reality_for_pedestrian_evacuation_research_2020.pdf,G Taketom T Sandor C,Kato,H 2018 Augmented realityversusvirtualrealityfor3DObjectmanipulation IEEETrans
inoue,26,SBE,Building_Technology,2020,augmented_reality_for_pedestrian_evacuation_research_2020.pdf,K Kozuki Y Shishibori M,Inoue,T Yaniagiichi K etal 2017
ea,228,SBE,Building_Technology,2020,characteristics_of_small_accidental_fires_in_new_zealand_dwellings_2020.pdf,Intent Retrofits Energy and Atmosphere,EA,Optimize energy efficiency performance Achieve
pone,117,SBE,Building_Technology,2020,characteristics_of_small_accidental_fires_in_new_zealand_dwellings_2020.pdf,e0203744 doi 10 1371 journal,pone,0203744 Zhang D Q Tan
hou,90,SBE,Building_Technology,2020,characteristics_of_small_accidental_fires_in_new_zealand_dwellings_2020.pdf,C S Sing C P,Hou,L 2013 A conceptual framework
aotearoa,88,SBE,Building_Technology,2020,characteristics_of_small_accidental_fires_in_new_zealand_dwellings_2020.pdf,social housing workforce development in,Aotearoa,New Zealand Parity 31 5
