term,corpus_count,School,Field,Year,PDF,left_context,matched_term,right_context
ono,23,SBE,Building_Technology,2021,investigating_office_buildings_evacuations_using_unannounced_fire_drills_2021.pdf,Journal 91 937 946 37,Ono,R Valentin M Vittorino F
huo,16,SBE,Building_Technology,2021,investigating_office_buildings_evacuations_using_unannounced_fire_drills_2021.pdf,50 5 1173 1179 51,Huo,F Song W Chen L
ute,25,SBE,Building_Technology,2021,investigating_personalized_exit_choice_behavior_in_fire_accidents_using_the_hierarchical_bayes_estimator_of_the_random_coefficient_logit_model_2021.pdf,Ben Song Massachuse tts Instit,ute,of T echnolog y 22
ea,228,SBE,Building_Technology,2021,prototyping_and_validating_a_non_immersive_virtual_reality_serious_game_for_healthcare_fire_safety_training_2021.pdf,Gorisse G Christmann O Amato,EA,and Richir S 2017 First
hao,75,SBE,Building_Technology,2021,simulating_metro_station_evacuation_using_three_agent_based_exit_choice_models_2021.pdf,A Li R Gao X,Hao,and B Deng 2012 Simulation
ame,25,SBE,Building_Technology,2021,simulating_metro_station_evacuation_using_three_agent_based_exit_choice_models_2021.pdf,P eople a serious g,ame,platf orm f or inf
uri,18,SBE,Building_Technology,2021,simulating_metro_station_evacuation_using_three_agent_based_exit_choice_models_2021.pdf,and modeling environment developed by,Uri,Wilensky Wilensky et al 2010
keane,17,SBE,Building_Technology,2021,simulating_metro_station_evacuation_using_three_agent_based_exit_choice_models_2021.pdf,Fiebig D G M P,Keane,J Louviere and N Wasi
nakano,20,SBE,Building_Technology,2021,the_response_of_sleeping_adults_to_smoke_alarm_signals_in_the_evacuation_decision_model_2021.pdf,noted in the work by,Nakano,and Hagiwara 5 in which
ope,27,SBE,Building_Technology,2022,a_non_immersive_virtual_reality_serious_game_application_for_flood_safety_training_2022.pdf,al w arming in Eur,ope,BRIDGE View pr oject Gabriele
romano,17,SBE,Building_Technology,2022,a_non_immersive_virtual_reality_serious_game_application_for_flood_safety_training_2022.pdf,001 45 G Bernardini G,Romano,L Soldini E Quagliarini How
popu,27,SBE,Building_Technology,2022,a_pre_evacuation_study_using_data_from_evacuation_drills_and_false_alarm_evacuations_in_a_university_library_2022.pdf,with the building or the,popu,lation can also increase pre
mora,33,SBE,Building_Technology,2022,behavioural_design_based_risk_assessment_and_mitigation_against_floods_in_historical_urban_built_environment_2022.pdf,Farneti U Firenze Italy Susana,Mora,U P Madrid Spain Silvio
moreira,22,SBE,Building_Technology,2022,behavioural_design_based_risk_assessment_and_mitigation_against_floods_in_historical_urban_built_environment_2022.pdf,Site 145 Inês Rosa Patrícia,Moreira,João Miranda Guedes and Eduarda
romano,17,SBE,Building_Technology,2022,behavioural_design_based_risk_assessment_and_mitigation_against_floods_in_historical_urban_built_environment_2022.pdf,References 1 G Bernardini G,Romano,L Soldini E Quagliarini 2021
ure,78,SBE,Building_Technology,2022,data_based_tools_can_prevent_crowd_crushes_2022.pdf,could increase the recap t,ure,rate reducing the escapees negative
hea,26,SBE,Building_Technology,2022,data_based_tools_can_prevent_crowd_crushes_2022.pdf,hardest hit by the combined,hea,twave and drought fall along
hou,90,SBE,Building_Technology,2022,digital_technologies_and_data_driven_delay_management_process_for_construction_projects_2022.pdf,007 Wang X Truijens M,Hou,L Wang Y and Zhou
hao,75,SBE,Building_Technology,2022,digital_technologies_and_data_driven_delay_management_process_for_construction_projects_2022.pdf,Y Liu L Yang L,Hao,L and Bao Y 2021
noti,71,SBE,Building_Technology,2022,digital_technologies_and_data_driven_delay_management_process_for_construction_projects_2022.pdf,projectdecision makers possible to be,noti,ﬁed of project problems if
hui,36,SBE,Building_Technology,2022,estimating_wildfire_evacuation_decision_and_departure_timing_using_large_scale_gps_data_2022.pdf,M Woo K T Y,Hui,K Ren K E Gan
ani,54,SBE,Building_Technology,2022,exit_choice_in_built_environment_evacuation_combining_immersive_virtual_reality_and_discrete_choice_modelling_2022.pdf,is observ ed in Hagh,ani,Sarvi s 49 study conducted
wou,18,SBE,Building_Technology,2022,exit_choice_in_built_environment_evacuation_combining_immersive_virtual_reality_and_discrete_choice_modelling_2022.pdf,in the experiment as they,wou,ld in a real emergency
akaike,43,SBE,Building_Technology,2022,exploring_home_to_school_trip_mode_choices_in_kandy_sri_lanka_2022.pdf,the comparison of the AIC,Akaike,s Information Criteria AICc Akaike
epi,31,SBE,Building_Technology,2022,exploring_home_to_school_trip_mode_choices_in_kandy_sri_lanka_2022.pdf,others Louviere et al 2000,EPi,Xiqj Q q 1 PiqEPiq
rana,18,SBE,Building_Technology,2022,exploring_home_to_school_trip_mode_choices_in_kandy_sri_lanka_2022.pdf,edu qa C Dias abdullah,rana,nu edu pk M Abdullah
ine,66,SBE,Building_Technology,2022,improving_the_built_environment_for_manual_wheelchair_users_2022.pdf,physical impairments and an inherently,ine,fficient manual wheelchair propulsion mechanism
ata,52,SBE,Building_Technology,2022,investigating_a_university_library_building_evacuation_in_pakistan_during_a_semi_announced_fire_drill_2022.pdf,previous stair 354 movement d,ata,listed by Peacock et al
mea,43,SBE,Building_Technology,2022,investigating_a_university_library_building_evacuation_in_pakistan_during_a_semi_announced_fire_drill_2022.pdf,al 59 although the observed,mea,n 363 density 0 57
aotearoa,88,SBE,Building_Technology,2022,modeling_evacuation_decisions_in_the_2019_kincade_fire_in_california_2022.pdf,wildfire in the Far North,Aotearoa,New Zealand International Journal of
mei,46,SBE,Building_Technology,2022,modeling_evacuation_decisions_in_the_2019_kincade_fire_in_california_2022.pdf,et al 2016 Wilmot and,Mei,2004 Although other wildfire research
ome,44,SBE,Building_Technology,2022,modeling_evacuation_decisions_in_the_2019_kincade_fire_in_california_2022.pdf,the linear regression model s,ome,of t he results align
rana,18,SBE,Building_Technology,2022,modeling_evacuation_decisions_in_the_2019_kincade_fire_in_california_2022.pdf,in flood studies Lechowska 2018,Rana,et al 2020 where larger
ute,25,SBE,Building_Technology,2022,prototyping_an_immersive_virtual_reality_training_system_for_urban_scale_evacuation_using_360_degree_panoramas_2022.pdf,off the best evacuation ro,ute,and should turn back see
ure,78,SBE,Building_Technology,2022,risk_perception_and_knowledge_of_protective_measures_for_flood_risk_planning_2022.pdf,R oot Zone Soil Moist,ure,at Lar ge Sc ale
uri,18,SBE,Building_Technology,2022,risk_perception_and_knowledge_of_protective_measures_for_flood_risk_planning_2022.pdf,l egal content EN TXT,uri,CELEX 32007L0060 https eur lex
hou,90,SBE,Building_Technology,2022,state_of_the_art_analysis_of_the_integration_of_augmented_reality_with_construction_technologies_to_improve_construction_safety_2022.pdf,a mainly actual world view,Hou,et al 2014 Recently AR
kato,27,SBE,Building_Technology,2022,state_of_the_art_analysis_of_the_integration_of_augmented_reality_with_construction_technologies_to_improve_construction_safety_2022.pdf,net publication 231514051 Mizuno Y,Kato,H and Nishida S 2004
aotearoa,88,SBE,Building_Technology,2022,wildfire_evacuation_decision_modeling_using_gps_data_2022.pdf,wildfire in the far north,aotearoa,new zealand International Journal of
hui,36,SBE,Building_Technology,2022,wildfire_evacuation_decision_modeling_using_gps_data_2022.pdf,20 331 347 Woo M,Hui,K T Y Ren K
tohoku,25,SBE,Building_Technology,2022,wildfire_evacuation_decision_modeling_using_gps_data_2022.pdf,that occurred in Japan 2011,Tohoku,earthquake 2014 Nagan earthquake 2016
amore,21,SBE,Built_Environment,2012,changes_in_resource_need_for_post_disaster_reconstruction_2012.pdf,signiﬁcant ﬁeld commitment can provide,amore,scientiﬁcally sound dataset to inform
mani,20,SBE,Built_Environment,2012,managing_resources_in_disaster_recovery_projects_2012.pdf,P K Keen M and,Mani,M 2003 Being prepared Natural
neri,27,SBE,Built_Environment,2012,resourcing_for_post_disaster_reconstruction_2012.pdf,pp 185 201 Regnier P,Neri,B Scuteri S and Miniati
tonga,30,SBE,Built_Environment,2013,community_engagement_2013.pdf,into Samoa American Samoa and,Tonga,killing about 200 people on
ure,78,SBE,Built_Environment,2013,improving_regulatory_frameworks_for_earthquake_risk_mitigation_2013.pdf,action about EPBs would ens,ure,an average level of commitment
ture,73,SBE,Built_Environment,2013,improving_regulatory_frameworks_for_earthquake_risk_mitigation_2013.pdf,damage to buildings and infrastruc,ture,182 deaths and various casualties
ome,44,SBE,Built_Environment,2013,improving_regulatory_frameworks_for_earthquake_risk_mitigation_2013.pdf,additional economic cost on s,ome,stakeholders s uch as property
aotearoa,88,SBE,Built_Environment,2013,iwi_resilience_2013.pdf,support crew Te Wananga o,Aotearoa,Open Wananga Ripeka Parata Raelee
ara,63,SBE,Built_Environment,2013,iwi_resilience_2013.pdf,that such a 1 Te,Ara,The Encyclopaedia of NZ http
rotorua,57,SBE,Built_Environment,2013,iwi_resilience_2013.pdf,be on flights out of,Rotorua,and deployed to assist Accommodation
maori,51,SBE,Built_Environment,2013,iwi_resilience_2013.pdf,Iwi Resilience The,Maori,Response Following the February 22
iwi,45,SBE,Built_Environment,2013,iwi_resilience_2013.pdf,,Iwi,Resilience The Maori Response Following
māori,41,SBE,Built_Environment,2013,iwi_resilience_2013.pdf,9 4 Ratima M 2010,Māori,health promotion a compr ehensive
hui,36,SBE,Built_Environment,2013,iwi_resilience_2013.pdf,NZ Parliament Kaumatua Maori elder,Hui,meeting Whanau extended family Marae
hira,30,SBE,Built_Environment,2013,iwi_resilience_2013.pdf,of Seaview Resilience Centre Ngaire,Hira,Te Puna Oraka Hub Shirley
nga,23,SBE,Built_Environment,2013,iwi_resilience_2013.pdf,Civil Defence and Emergency Management,Nga,Hau e Wha Marae National
ngai,18,SBE,Built_Environment,2013,iwi_resilience_2013.pdf,of Te Runang a o,Ngai,Tahu to apply its resources
whanganui,18,SBE,Built_Environment,2013,iwi_resilience_2013.pdf,Health Workers Whakauae Research Services,Whanganui,New Zealand Education for Health
roa,16,SBE,Built_Environment,2013,iwi_resilience_2013.pdf,at Rehua Marae in Springfield,Roa,d just outside the Red
whi,30,SBE,Built_Environment,2013,resilient_cities_2013.pdf,go on to state that,Whi,le there may be many
ute,25,SBE,Built_Environment,2013,resilient_cities_2013.pdf,is not to show absol,ute,quantitative differences in a research
mani,20,SBE,Built_Environment,2013,resource_challenges_for_housing_reconstruction_2013.pdf,K M Keen and M,Mani,2003 Being prepared Natural disasters
ake,19,SBE,Built_Environment,2013,resource_challenges_for_housing_reconstruction_2013.pdf,Knight John and N Arunatil,ake,2005 Post tsunami Recovery Issues
neri,27,SBE,Built_Environment,2013,the_gabion_house_revisited_2013.pdf,constructor and Rafael Mat ter,Neri,as the designer urban planner
tonga,30,SBE,Built_Environment,2013,the_seemingly_simple_2013.pdf,34 deaths and 9 in,Tonga,There is a special relat
kiwi,25,SBE,Built_Environment,2013,the_seemingly_simple_2013.pdf,to activate more than 600,Kiwi,volunteers to build 896 traditional
iwi,45,SBE,Built_Environment,2014,are_we_listening_are_we_learning_2014.pdf,re for example local organisations,iwi,marae leaders networks and facilities
nge,24,SBE,Built_Environment,2014,are_we_listening_are_we_learning_2014.pdf,vulnerable Adapt to climate cha,nge,by building on good risk
mora,33,SBE,Built_Environment,2014,build_back_better_2014.pdf,risk reduction measures in reconstruction,Mora,and Keipi 2006 Pathiraja and
nee,29,SBE,Built_Environment,2014,seismic_discussion_paper_2014.pdf,and infrastructure buildings that would,nee,d to be maintained for
ani,54,SBE,Built_Environment,2014,the_application_of_quality_of_life_metrics_2014.pdf,for the Andaman Nicobar Islands,ANI,235 weeks after their disaster
porirua,52,SBE,Built_Environment,2014,the_application_of_quality_of_life_metrics_2014.pdf,aitakere Manukau Tauranga Hamilton Wellington,Porirua,H utt Christchurch and Dunedin
mea,43,SBE,Built_Environment,2014,the_application_of_quality_of_life_metrics_2014.pdf,a rapid response sufficient to,mea,sure what are time sensitive
ue,43,SBE,Built_Environment,2014,the_application_of_quality_of_life_metrics_2014.pdf,the QoL Approach Additional val,ue,could have been gained if
whi,30,SBE,Built_Environment,2014,the_application_of_quality_of_life_metrics_2014.pdf,Talk to the Buildings Approach,whi,ch has suggested an interesting
ima,30,SBE,Built_Environment,2014,the_application_of_quality_of_life_metrics_2014.pdf,the next set of photographs,Ima,gine that you are in
hea,26,SBE,Built_Environment,2014,the_application_of_quality_of_life_metrics_2014.pdf,of QoL commonly in the,hea,lth related QoL They can
amo,21,SBE,Built_Environment,2014,the_application_of_quality_of_life_metrics_2014.pdf,significant There had been discussion,amo,ngst the UNHCR team as
ake,19,SBE,Built_Environment,2014,the_application_of_quality_of_life_metrics_2014.pdf,digitally removed Does this m,ake,it easier Hopefully it does
pape,18,SBE,Built_Environment,2014,the_application_of_quality_of_life_metrics_2014.pdf,vulnerability reduction programmes IDS Working,Pape,rs Institute of Development Studies
aro,18,SBE,Built_Environment,2014,the_application_of_quality_of_life_metrics_2014.pdf,People Staying in the Camps,aro,und Mianzhu The results from
rii,23,SBE,Built_Environment,2015,sustainability_by_design_2015.pdf,VDPH WLPH FRQWLQXH SD LQJ,RII,ORDQV SHUKDSV RQ WKH SUHYLRXV
rami,20,SBE,Built_Environment,2016,building_back_better_in_gaza_2016.pdf,Gaza safi ahmad74 gmail com,Rami,AbuShaaban The Agricultural Development Association
niwa,48,SBE,Built_Environment,2017,assessment_of_occupants_thermal_condition_and_the_risk_of_overheating_in_sustainable_public_libraries_in_auckland_region_2017.pdf,W ater and Atmospheric Research,NIWA,This file was generated with
puri,90,SBE,Built_Environment,2017,human_factors_considerations_of_first_person_view_operation_of_unmanned_aircraft_systems_in_infrastructure_construction_and_inspection_environments_2017.pdf,oring Coifman et al 2006,Puri,et al 2007 bridge inspection
ue,43,SBE,Built_Environment,2017,human_factors_considerations_of_first_person_view_operation_of_unmanned_aircraft_systems_in_infrastructure_construction_and_inspection_environments_2017.pdf,Situation A wareness Rating Techniq,ue,SART and motion sickness in
ope,27,SBE,Built_Environment,2017,human_factors_considerations_of_first_person_view_operation_of_unmanned_aircraft_systems_in_infrastructure_construction_and_inspection_environments_2017.pdf,device worn by the human,ope,rator on his her head
ato,25,SBE,Built_Environment,2017,human_factors_considerations_of_first_person_view_operation_of_unmanned_aircraft_systems_in_infrastructure_construction_and_inspection_environments_2017.pdf,faa gov about office_org headquarters_offices,ato,service_units systemops aaim organizati ons
ua,23,SBE,Built_Environment,2017,human_factors_considerations_of_first_person_view_operation_of_unmanned_aircraft_systems_in_infrastructure_construction_and_inspection_environments_2017.pdf,Drone because an Unmanned Aircraft,UA,does not carry an onboard
romano,17,SBE,Built_Environment,2017,immersive_environment_for_improving_the_understanding_of_architectural_3d_models_2017.pdf,007 0605 7_15 3 F,Romano,Modelo de referência para o
ina,53,SBE,Built_Environment,2017,incentives_and_motivators_for_improving_building_resilience_to_earthquake_disaster_2017.pdf,with high premiums or the,ina,bility to get policy cover
ite,28,SBE,Built_Environment,2017,incentives_and_motivators_for_improving_building_resilience_to_earthquake_disaster_2017.pdf,and 717 cultural settings Desp,ite,the limitations the results of
ope,27,SBE,Built_Environment,2017,incentives_and_motivators_for_improving_building_resilience_to_earthquake_disaster_2017.pdf,S View pr oject Temit,ope,Egbelakin The Univ ersity of
whi,30,SBE,Built_Environment,2018,a_tool_to_assess_construction_worker_productivity_2018.pdf,the relative productivity value factors,whi,ch need further attention will
anu,29,SBE,Built_Environment,2018,a_tool_to_assess_construction_worker_productivity_2018.pdf,asce april 2013 21 V,Anu,Thomas and J Sudhakumar D
rii,23,SBE,Built_Environment,2018,a_tool_to_assess_construction_worker_productivity_2018.pdf,out using Relative Important Index,RII,RII is a widely used
ree,38,SBE,Built_Environment,2018,a_usability_study_of_an_immersive_virtual_reality_platform_for_building_design_review_2018.pdf,their mersive VR luding four,ree,years of Expert no yes
ite,28,SBE,Built_Environment,2018,a_usability_study_of_an_immersive_virtual_reality_platform_for_building_design_review_2018.pdf,of detail x ray wh,ite,and shadow texturi zed realistic
ina,53,SBE,Built_Environment,2018,developing_a_framework_for_measuring_water_supply_resilience_2018.pdf,a disaster and bounce back,ina,timely manner Framework Development As
akaike,43,SBE,Built_Environment,2018,developing_a_framework_for_measuring_water_supply_resilience_2018.pdf,dimensionality reduction statistical routines suchas,Akaike,s criterion can be employed
uri,18,SBE,Built_Environment,2018,developing_a_framework_for_measuring_water_supply_resilience_2018.pdf,of the utility resilience index,URI,Ph D thesis George Mason
eme,33,SBE,Built_Environment,2018,immersive_virtual_reality_serious_games_for_evacuation_training_and_research_2018.pdf,Serious Game Techniques to Simulate,Eme,rgency Situations GeoInfo 121 182
pape,18,SBE,Built_Environment,2018,immersive_virtual_reality_serious_games_for_evacuation_training_and_research_2018.pdf,the literature In the reviewed,pape,rs both teaching methods were
whi,30,SBE,Built_Environment,2018,impact_of_social_characteristics_of_communities_on_water_supply_system_resilience_2018.pdf,in the event of disasters,whi,ch also applies to water
tohoku,25,SBE,Built_Environment,2018,impact_of_social_characteristics_of_communities_on_water_supply_system_resilience_2018.pdf,organisations NGOs sprang up in,Tohoku,generating social capital in partnership
epi,31,SBE,Built_Environment,2018,increase_in_disaster_risk_due_to_inefficient_environmental_management_land_use_policies_and_relocation_policies_2018.pdf,IUCN Sri Lanka 15 http,epi,yale edu country rankings Accessed
mora,33,SBE,Built_Environment,2018,investigation_of_efficiency_and_effectiveness_of_the_existing_disaster_management_frameworks_in_sri_lanka_2018.pdf,deaths 8 Most recently Cyclone,Mora,hit Sri Lanka on May
maori,51,SBE,Built_Environment,2018,methods_to_build_resilience_in_indigenous_communities_2018.pdf,communities A case study from,Maori,New Zealand Jonathan Procter 1
niwa,48,SBE,Built_Environment,2018,methods_to_build_resilience_in_indigenous_communities_2018.pdf,Lower Hutt New Zealand 6,NIWA,Auckland New Zealand 7 Manaaki
whenua,39,SBE,Built_Environment,2018,methods_to_build_resilience_in_indigenous_communities_2018.pdf,Whakatane New Zealand 4 Manaaki,Whenua,Landcare Research Palmerston North New
ine,66,SBE,Built_Environment,2018,prototyping_virtual_reality_serious_games_for_building_earthquake_preparedness_2018.pdf,2 show s the pipel,ine,described in this paragraph Figure
māori,41,SBE,Built_Environment,2018,prototyping_virtual_reality_serious_games_for_building_earthquake_preparedness_2018.pdf,African Asian European Latin American,Māori,Middle Eastern Other Ethnicity Medical
roa,16,SBE,Built_Environment,2018,prototyping_virtual_reality_serious_games_for_building_earthquake_preparedness_2018.pdf,at emergency exit portals for,roa,d tunnel evacuation Fire Technol
aotearoa,88,SBE,Built_Environment,2018,the_maori_response_to_a_seismic_swan_2018.pdf,support crew Te Wananga o,Aotearoa,Open Wananga Ora Hauora staff
ara,63,SBE,Built_Environment,2018,the_maori_response_to_a_seismic_swan_2018.pdf,1250 and 1300 CE Te,Ara,2017a A unique culture and
rotorua,57,SBE,Built_Environment,2018,the_maori_response_to_a_seismic_swan_2018.pdf,admin staff flying out of,Rotorua,KSG to resolve food and
maori,51,SBE,Built_Environment,2018,the_maori_response_to_a_seismic_swan_2018.pdf,978 3 319 61729 9_7The,Maori,Response to a Seismic Swan
iwi,45,SBE,Built_Environment,2018,the_maori_response_to_a_seismic_swan_2018.pdf,Ngai Tahu the local Maori,Iwi,or recognised tribal author ity
māori,41,SBE,Built_Environment,2018,the_maori_response_to_a_seismic_swan_2018.pdf,Iwi hap ū and whānau,Māori,support Financial support for individuals
whenua,39,SBE,Built_Environment,2018,the_maori_response_to_a_seismic_swan_2018.pdf,named after Tamatea P ōkai,Whenua,who climbed the peak to
hui,36,SBE,Built_Environment,2018,the_maori_response_to_a_seismic_swan_2018.pdf,reports field diary notes meetings,hui,reports and data and observations
nga,23,SBE,Built_Environment,2018,the_maori_response_to_a_seismic_swan_2018.pdf,Christchurch and then Chair of,Nga,Hau e Wha National Marae
ngai,18,SBE,Built_Environment,2018,the_maori_response_to_a_seismic_swan_2018.pdf,tions with Te Runanga o,Ngai,Tahu the local Maori Iwi
whanganui,18,SBE,Built_Environment,2018,the_maori_response_to_a_seismic_swan_2018.pdf,health workers Whakauae research services,Whanganui,New Zealand Educ Health 22
neri,27,SBE,Built_Environment,2019,a_conceptual_framework_for_measuring_livelihood_resilience_2019.pdf,reconstruc tion APEC 2013 Régnier,Neri,Scuteri and Miniati 2008 emphasized
tohoku,25,SBE,Built_Environment,2019,a_conceptual_framework_for_measuring_livelihood_resilience_2019.pdf,the 2010 2011 Canterbury and,Tohoku,disasters International Journal of Disaster
nga,23,SBE,Built_Environment,2019,a_conceptual_framework_for_measuring_livelihood_resilience_2019.pdf,of small enterprises in Phang,Nga,Province Southern Thailand In R
mori,20,SBE,Built_Environment,2019,a_conceptual_framework_for_measuring_livelihood_resilience_2019.pdf,reduction Jha Duyne 2010 Marzo,Mori,2012 In a report commissioned
reiterate,16,SBE,Built_Environment,2019,a_conceptual_framework_for_measuring_livelihood_resilience_2019.pdf,The ﬁndings in this paper,reiterate,the need to move from
tonga,30,SBE,Built_Environment,2019,building_back_towards_storm_resilient_housing_2019.pdf,areas of Fiji Vanuatu and,Tonga,to protect roofs from severe
ue,43,SBE,Built_Environment,2019,comparing_virtual_reality_and_2_dimensional_drawings_for_the_visualization_of_a_construction_project_2019.pdf,Step 1 Administration of Purd,ue,Spatial Visualization Test Visualization of
hea,26,SBE,Built_Environment,2019,developing_a_sub_contractor_pre_assessment_framework_for_sri_lankan_building_construction_industry_2019.pdf,sub contractor s level of,hea,lth and safety accreditation HF2
rii,23,SBE,Built_Environment,2019,developing_a_sub_contractor_pre_assessment_framework_for_sri_lankan_building_construction_industry_2019.pdf,problem has been approached using,RII,and PROMETHEE method According to
ata,52,SBE,Built_Environment,2019,international_collaboration_for_enhancing_research_and_innovation_in_the_context_of_disaster_resilience_2019.pdf,given sample For this d,ata,set all the value s
niwa,48,SBE,Built_Environment,2019,investigation_into_the_risk_of_overheating_in_new_zealands_public_libraries_2019.pdf,of Water and Atmospheric Research,NIWA,This file was generated with
ree,38,SBE,Built_Environment,2019,investigation_into_the_risk_of_overheating_in_new_zealands_public_libraries_2019.pdf,three libraries located in th,ree,different locations in Auckland region
wai,38,SBE,Built_Environment,2019,investigation_into_the_risk_of_overheating_in_new_zealands_public_libraries_2019.pdf,in Devonport Glen Eden and,Wai,heke Since the three locations
materi,16,SBE,Built_Environment,2019,productivity_and_performance_threats_for_local_construction_companies_in_sri_lanka_2019.pdf,due to the unavailability of,materi,als requirement was fulfilled from
nge,24,SBE,Built_Environment,2019,social_capacities_in_fostering_water_supply_resilience_in_vanuatu_2019.pdf,the impact of climate cha,nge,on SIDS in general e
uri,18,SBE,Built_Environment,2019,social_capacities_in_fostering_water_supply_resilience_in_vanuatu_2019.pdf,of the Utility Resilience Index,URI,George Mason University Fairfax VA
uri,18,SBE,Built_Environment,2019,social_factors_affecting_water_supply_resilience_to_disasters_2019.pdf,of the Utility Resilience Index,URI,DoctoralDissertation 2012 35 J C
ue,43,SBE,Built_Environment,2019,uas_based_airport_maintenance_inspections_2019.pdf,contrast the z coordinate val,ue,of the ground was 202
ua,23,SBE,Built_Environment,2019,uas_based_airport_maintenance_inspections_2019.pdf,E mail sungjin kim eng,ua,edu 2Ph D Student School
kumi,17,SBE,Built_Environment,2019,using_immersive_virtual_reality_to_improve_choosing_by_advantages_system_for_the_selection_of_fall_protection_measures_2019.pdf,Kpamma Z E Adje i,Kumi,T Ayarkwa J Adinyira E
pii,35,SBE,Built_Environment,2019,what_does_the_future_hold_for_relocated_communities_post_disaster_2019.pdf,1036 1039 309 5737 1036,pii,4 M Adler E Ziglio
neri,27,SBE,Built_Environment,2019,what_does_the_future_hold_for_relocated_communities_post_disaster_2019.pdf,P Texier P Régnier B,Neri,S Scuteri S Miniati From
tohoku,25,SBE,Built_Environment,2019,what_does_the_future_hold_for_relocated_communities_post_disaster_2019.pdf,the 2010 2011 Canterbury and,Tohoku,disasters Int J Disaster Risk
nga,23,SBE,Built_Environment,2019,what_does_the_future_hold_for_relocated_communities_post_disaster_2019.pdf,of Small Enterprises in Phang,Nga,Province Southern Thailand Recovery from
ara,63,SBE,Built_Environment,2020,an_immersive_virtual_reality_serious_game_to_enhance_earthquake_behavioral_responses_and_post_earthquake_evacuation_preparedness_in_buildings_2020.pdf,McSaveney E 2017 Earthquakes Te,Ara,the Encyclopedia of New Zealand
moreno,43,SBE,Built_Environment,2020,an_immersive_virtual_reality_serious_game_to_enhance_earthquake_behavioral_responses_and_post_earthquake_evacuation_preparedness_in_buildings_2020.pdf,outcome s Bellotti Kapralos Lee,Moreno,Ger Berta 2013 SGs have
neto,20,SBE,Built_Environment,2020,an_immersive_virtual_reality_serious_game_to_enhance_earthquake_behavioral_responses_and_post_earthquake_evacuation_preparedness_in_buildings_2020.pdf,J Jacob João Tiago Pinheiro,Neto,Faria B M Coelho A
mea,43,SBE,Built_Environment,2020,are_environmental_sustainability_and_happiness_the_keys_to_prosperity_in_asian_nations_2020.pdf,with declining per capita consumption,mea,sured in terms of either
epi,31,SBE,Built_Environment,2020,are_environmental_sustainability_and_happiness_the_keys_to_prosperity_in_asian_nations_2020.pdf,per capita EI Education Index,EPI,Environmental Performance Index ESH Well
maori,51,SBE,Built_Environment,2020,building_information_modelling_workflow_for_heritage_maintenance_2020.pdf,places also include those of,Maori,culture which are integral to
maki,18,SBE,Built_Environment,2020,evaluation_of_gaps_in_early_warning_mechanisms_and_evacuation_procedures_for_coastal_communities_in_sri_lanka_2020.pdf,Kuri M Iguchi M and,Maki,N 2016 Disaster governance in
maki,18,SBE,Built_Environment,2020,important_aspects_of_evacuation_planning_for_the_coastal_communities_in_sri_lanka_2020.pdf,Kuri M Iguchi M and,Maki,N 2016 Disaster Governance in
porirua,52,SBE,Built_Environment,2020,investigating_the_technical_dimension_of_water_supply_resilience_to_disasters_2020.pdf,areassuch as Upper Hutt and,Porirua,City Cousins et al 2012
tohoku,25,SBE,Built_Environment,2020,investigating_the_technical_dimension_of_water_supply_resilience_to_disasters_2020.pdf,recover Ministry of Health 2012,Tohoku,earthquake and tsunami Japan 11
ine,66,SBE,Built_Environment,2020,modernist_housing_estate_revival_2020.pdf,b een disputed the historical,ine,ptness of Modern architecture to
ata,52,SBE,Built_Environment,2020,modernist_housing_estate_revival_2020.pdf,Republic 3 Methods The d,ata,presented in this paper was
ete,20,SBE,Built_Environment,2020,modernist_housing_estate_revival_2020.pdf,draught dampness noise pollution concr,ete,defects and poor finishes 17
aro,18,SBE,Built_Environment,2020,modernist_housing_estate_revival_2020.pdf,Wellington 139 Vivian St Te,Aro,Wellington 6011 New Zealand Email
nakamura,29,SBE,Built_Environment,2020,towards_a_customizable_immersive_virtual_reality_serious_game_for_earthquake_emergency_training_2020.pdf,27 3 1185 1194 37,Nakamura,J Csikszentmihalyi M The concept
niwa,48,SBE,Built_Environment,2020,unmanned_aerial_vehicle_sustainability_assessment_of_heritage_buildings_2020.pdf,were used instead of the,NIWA,calculator because it takes into
kuo,37,SBE,Built_Environment,2020,unmanned_aerial_vehicle_sustainability_assessment_of_heritage_buildings_2020.pdf,1471 1476 Haur C J,Kuo,L S Fu C P
ao,66,SBE,Built_Environment,2021,an_evidence_of_cognitive_benefits_from_immersive_design_review_2021.pdf,um estudo sobre a percepç,ao,do ambiente simulado para avaliaç
kimura,37,SBE,Built_Environment,2021,an_evidence_of_cognitive_benefits_from_immersive_design_review_2021.pdf,error margin or not respectively,Kimura,et al 46 also utilized
naire,16,SBE,Built_Environment,2021,an_evidence_of_cognitive_benefits_from_immersive_design_review_2021.pdf,validity of the 3DPQ question,naire,This analysis encompasses both conditions
hao,75,SBE,Built_Environment,2021,a_study_on_stakeholder_trust_in_sri_lanka’s_multi-hazard_early_warning_mechanism_2021.pdf,2014 predictions and early warning,Hao,et al 2014 impacts Liu
ao,66,SBE,Built_Environment,2021,a_study_on_stakeholder_trust_in_sri_lanka’s_multi-hazard_early_warning_mechanism_2021.pdf,the reception centers in V,ao,and V ägeva for some
