School,Field,Year,basename,phase1_candidate_count,phase2_candidate_count,excluded_candidate_count,word_count,phase1_density_per_10k,phase2_density_per_10k,period
SBE,Building_Technology,2012,environmental_input_output_analysis_of_the_new_zealand_dairy_industry_2012.pdf,7,5,2,10120,6.91699604743083,4.940711462450593,2012-2016
SBE,Building_Technology,2014,a_discrete_choice_model_based_on_random_utilities_for_exit_choice_in_emergency_evacuations_2014.pdf,2,2,0,8009,2.49719066050693,2.49719066050693,2012-2016
SBE,Building_Technology,2014,a_humanoid_robot_for_research_into_kicking_rugby_balls_2014.pdf,14,8,6,6208,22.551546391752574,12.88659793814433,2012-2016
SBE,Building_Technology,2014,data_collection_approaches_for_the_study_of_the_decision_making_process_in_fire_evacuations_2014.pdf,2,1,1,2362,8.46740050804403,4.233700254022015,2012-2016
SBE,Building_Technology,2014,fast_apple_inspection_in_colour_space_2014.pdf,0,0,0,129,0.0,0.0,2012-2016
SBE,Building_Technology,2014,occupants_perspectives_of_a_five_green_star_certified_school_building_2014.pdf,1,0,1,5865,1.7050298380221653,0.0,2012-2016
SBE,Building_Technology,2014,the_role_of_herding_behaviour_in_exit_choice_during_evacuation_2014.pdf,4,1,3,5363,7.458512026850643,1.8646280067126608,2012-2016
SBE,Building_Technology,2014,the_validation_of_evacuation_simulation_models_through_the_analysis_of_behavioural_uncertainty_2014.pdf,6,2,4,8316,7.215007215007215,2.405002405002405,2012-2016
SBE,Building_Technology,2015,a_mixed_ordered_approach_to_investigate_correlations_among_different_affordances_in_fire_evacuation_2015.pdf,2,1,1,696,28.735632183908045,14.367816091954023,2012-2016
SBE,Building_Technology,2015,a_model_of_the_decision_making_process_during_pre_evacuation_2015.pdf,3,1,2,10220,2.935420743639922,0.9784735812133073,2012-2016
SBE,Building_Technology,2015,calibrating_floor_field_cellular_automaton_models_for_pedestrian_dynamics_by_using_likelihood_function_optimization_2015.pdf,5,3,2,7329,6.822213125938054,4.093327875562832,2012-2016
SBE,Building_Technology,2015,the_need_of_latent_variables_for_modelling_decision_making_in_evacuation_simulations_2015.pdf,8,2,6,6020,13.289036544850498,3.3222591362126246,2012-2016
SBE,Building_Technology,2016,affordance-based_evaluation_of_signage_design_for_areas_of_refuge_2016.pdf,5,3,2,2642,18.925056775170326,11.355034065102195,2012-2016
SBE,Building_Technology,2016,an_evacuation_decision_model_based_on_perceived_risk_social_influence_and_behavioural_uncertainty_2016.pdf,2,1,1,13288,1.5051173991571343,0.7525586995785671,2012-2016
SBE,Building_Technology,2016,application_of_the_ordered_logit_model_to_optimising_frangi_filter_parameters_for_segmentation_of_perivascular_spaces_2016.pdf,1,1,0,3201,3.1240237425804436,3.1240237425804436,2012-2016
SBE,Building_Technology,2016,a_dynamic_approach_for_the_impact_of_a_toxic_gas_dispersion_hazard_considering_human_behaviour_and_dispersion_modelling_2016.pdf,6,2,4,11106,5.4024851431658565,1.8008283810552856,2012-2016
SBE,Building_Technology,2016,a_mixed_logit_model_for_predicting_exit_choice_during_building_evacuations_2016.pdf,5,3,2,12222,4.090983472426771,2.454590083456063,2012-2016
SBE,Building_Technology,2016,a_review_of_manual_wheelchairs_2016.pdf,3,3,0,7753,3.8694698826260803,3.8694698826260803,2012-2016
SBE,Building_Technology,2016,a_sensitivity_analysis_of_a_hospital_evacuation_in_case_of_fire_2016.pdf,4,2,2,5251,7.617596648257475,3.8087983241287375,2012-2016
SBE,Building_Technology,2016,a_study_of_herding_behaviour_in_exit_choice_during_emergencies_based_on_random_utility_theory_2016.pdf,4,1,3,10297,3.8846265902690105,0.9711566475672526,2012-2016
SBE,Building_Technology,2016,a_virtual_reality_experiment_on_flashing_lights_at_emergency_exit_portals_for_road_tunnel_evacuation_2016.pdf,2,1,1,10202,1.9603999215840031,0.9801999607920016,2012-2016
SBE,Building_Technology,2016,pros_and_cons_of_egress_drills_2016.pdf,0,0,0,196,0.0,0.0,2012-2016
SBE,Building_Technology,2017,an_immersive_serious_game_for_firefighting_and_evacuation_training_in_healthcare_facilities_2017.pdf,5,2,3,5366,9.317927692881103,3.727171077152441,2017-2022
SBE,Building_Technology,2017,a_humanoid_kicking_robot_2017.pdf,0,0,0,145,0.0,0.0,2017-2022
SBE,Building_Technology,2017,coverage_of_apple_surface_for_adequate_machine_vision_inspection_2017.pdf,1,1,0,217,46.08294930875576,46.08294930875576,2017-2022
SBE,Building_Technology,2017,dissuasive_exit_signage_for_building_fire_evacuation_2017.pdf,3,1,2,9503,3.156897821740503,1.0522992739135009,2017-2022
SBE,Building_Technology,2017,perivascular_spaces_segmentation_in_brain_mri_using_optimal_3d_filtering_2017.pdf,1,0,1,6722,1.4876524843796488,0.0,2017-2022
SBE,Building_Technology,2017,simulating_assisted_evacuation_using_unity3d_2017.pdf,5,3,2,3644,13.721185510428102,8.23271130625686,2017-2022
SBE,Building_Technology,2017,the_need_for_enhancing_earthquake_evacuee_safety_by_using_virtual_reality_serious_games_2017.pdf,5,1,4,5259,9.507510933637574,1.9015021867275148,2017-2022
SBE,Building_Technology,2018,a_review_2018.pdf,13,8,5,7588,17.13231418028466,10.542962572482868,2017-2022
SBE,Building_Technology,2018,calibrating_cellular_automaton_models_for_pedestrians_walking_through_corners_2018.pdf,3,0,3,5093,5.890437855880621,0.0,2017-2022
SBE,Building_Technology,2018,clinical_validation_of_automatic_quantitative_measurements_of_perivascular_spaces_in_older_age_mri_brain_data_2018.pdf,0,0,0,516,0.0,0.0,2017-2022
SBE,Building_Technology,2018,immersive_virtual_reality_serious_games_for_evacuation_training_and_research_2018.pdf,5,3,2,13899,3.5973811065544283,2.158428663932657,2017-2022
SBE,Building_Technology,2018,investigating_pedestrian_navigation_in_indoor_open_space_environments_using_big_data_2018.pdf,8,5,3,6228,12.845215157353884,8.028259473346179,2017-2022
SBE,Building_Technology,2018,people_choice_modelling_for_evacuation_of_tall_buildings_2018.pdf,4,2,2,8740,4.576659038901602,2.288329519450801,2017-2022
SBE,Building_Technology,2018,prototyping_virtual_reality_serious_games_for_earthquake_preparedness_2018.pdf,11,5,6,12402,8.869537171423964,4.031607805192711,2017-2022
SBE,Building_Technology,2018,queue_formation_and_evacuation_modelling_in_road_tunnels_during_fires_2018.pdf,4,2,2,3570,11.204481792717086,5.602240896358543,2017-2022
SBE,Building_Technology,2019,a_modelling_framework_for_householder_decision_making_for_wildfire_emergencies_2019.pdf,18,8,10,15221,11.82576703238946,5.255896458839761,2017-2022
SBE,Building_Technology,2019,a_pre_evacuation_database_for_use_in_egress_simulations_2019.pdf,6,3,3,17527,3.4232897814800025,1.7116448907400013,2017-2022
SBE,Building_Technology,2019,computational_quantification_of_brain_perivascular_space_morphologies_2019.pdf,7,0,7,8972,7.80205082478823,0.0,2017-2022
SBE,Building_Technology,2019,corrigendum_to_a_pre_evacuation_database_for_use_in_egress_simulations_2019.pdf,1,0,1,3534,2.829654782116582,0.0,2017-2022
SBE,Building_Technology,2019,mobile_powered_head_mounted_displays_vs_cave_automatic_virtual_environment_experiments_for_evacuation_research_2019.pdf,0,0,0,3160,0.0,0.0,2017-2022
SBE,Building_Technology,2019,modeling_and_simulation_of_pedestrian_movement_planning_around_corners_2019.pdf,5,3,2,9495,5.26592943654555,3.15955766192733,2017-2022
SBE,Building_Technology,2019,prediction_of_kiwifruit_orchard_characteristics_from_satellite_images_2019.pdf,8,6,2,6481,12.343774108933806,9.257830581700356,2017-2022
SBE,Building_Technology,2019,proposing_behavior_oriented_strategies_for_earthquake_emergency_evacuation_2019.pdf,10,4,6,13760,7.267441860465116,2.9069767441860463,2017-2022
SBE,Building_Technology,2019,the_impact_of_sampling_methods_on_evacuation_model_convergence_and_egress_time_2019.pdf,10,2,8,8119,12.31678778174652,2.463357556349304,2017-2022
SBE,Building_Technology,2019,towards_microscopic_calibration_of_pedestrian_simulation_models_using_open_trajectory_data_sets_2019.pdf,2,0,2,3340,5.9880239520958085,0.0,2017-2022
SBE,Building_Technology,2020,an_immersive_virtual_reality_serious_game_to_enhance_earthquake_behavioral_responses_and_post_earthquake_evacuation_preparedness_in_buildings_2020.pdf,9,2,7,10259,8.772784871819866,1.9495077492933033,2017-2022
SBE,Building_Technology,2020,an_online_survey_of_pedestrian_evacuation_model_usage_and_users_2020.pdf,9,5,4,8328,10.80691642651297,6.003842459173872,2017-2022
SBE,Building_Technology,2020,augmented_reality_for_pedestrian_evacuation_research_2020.pdf,15,7,8,9283,16.15856942798664,7.540665733060433,2017-2022
SBE,Building_Technology,2020,calibrating_the_wildfire_decision_model_using_hybrid_choice_modelling_2020.pdf,2,0,2,9658,2.070822116380203,0.0,2017-2022
SBE,Building_Technology,2020,characteristics_of_small_accidental_fires_in_new_zealand_dwellings_2020.pdf,79,51,28,160892,4.910126047286378,3.169828207741839,2017-2022
SBE,Building_Technology,2020,comparing_the_effectiveness_of_fire_extinguisher_virtual_reality_and_video_training_2020.pdf,4,1,3,8397,4.763606049779684,1.190901512444921,2017-2022
SBE,Building_Technology,2020,computational_quantification_of_brain_perivascular_space_morphologies_2020.pdf,2,0,2,8410,2.3781212841854935,0.0,2017-2022
SBE,Building_Technology,2020,evacuation_data_from_a_hospital_outpatient_drill_the_case_study_of_north_shore_hospital_2020.pdf,6,3,3,4456,13.464991023339318,6.732495511669659,2017-2022
SBE,Building_Technology,2020,exposed_2020.pdf,8,3,5,6148,13.012361743656475,4.879635653871178,2017-2022
SBE,Building_Technology,2020,glass_curtain_wall_technology_and_sustainability_in_commercial_buildings_in_auckland_new_zealand_2020.pdf,6,1,5,6458,9.290802105915144,1.548467017652524,2017-2022
SBE,Building_Technology,2020,how_people_make_decisions_during_earthquakes_and_post_earthquake_evacuation_2020.pdf,1,1,0,13254,0.7544892108042854,0.7544892108042854,2017-2022
SBE,Building_Technology,2020,human_behaviour_during_a_healthcare_facility_evacuation_drills_2020.pdf,10,6,4,11766,8.499065102838687,5.099439061703213,2017-2022
SBE,Building_Technology,2020,modeling_evacuation_behavior_in_the_2019_kincade_fire_sonoma_county_california_2020.pdf,3,1,2,1667,17.99640071985603,5.9988002399520095,2017-2022
SBE,Building_Technology,2020,modelling_and_interpreting_pre_evacuation_decision_making_using_machine_learning_2020.pdf,5,2,3,10020,4.99001996007984,1.996007984031936,2017-2022
SBE,Building_Technology,2020,modelling_evacuation_decision_making_in_the_2016_chimney_tops_2_fire_in_gatlinburg_tn_2020.pdf,7,3,4,12765,5.483744614179397,2.3501762632197414,2017-2022
SBE,Building_Technology,2020,retinal_biomarkers_discovery_for_cerebral_small_vessel_disease_in_an_older_population_2020.pdf,5,4,1,4685,10.672358591248667,8.537886872998932,2017-2022
SBE,Building_Technology,2020,using_artificial_intelligence_for_safe_and_effective_wildfire_evacuations_2020.pdf,2,1,1,1351,14.803849000740191,7.401924500370096,2017-2022
SBE,Building_Technology,2020,validity_and_reliability_of_life_cycle_assessment_2020.pdf,8,4,4,8025,9.968847352024921,4.984423676012461,2017-2022
SBE,Building_Technology,2020,virtual_and_augmented_reality_for_human_behaviour_in_disasters_2020.pdf,13,7,6,7151,18.1792756257866,9.788840721577403,2017-2022
SBE,Building_Technology,2021,analysis_of_the_stochastic_excursions_of_tumbling_apples_2021.pdf,2,2,0,7179,2.785903329154478,2.785903329154478,2017-2022
SBE,Building_Technology,2021,case_studies_of_large_outdoor_fires_involving_evacuation_2021.pdf,32,15,17,47375,6.754617414248021,3.1662269129287597,2017-2022
SBE,Building_Technology,2021,investigating_evacuation_behaviour_in_retirement_facilities_2021.pdf,2,0,2,9394,2.1290185224611453,0.0,2017-2022
SBE,Building_Technology,2021,investigating_exit_choice_in_built_environment_evacuation_combining_immersive_virtual_reality_and_discrete_choice_modelling_2021.pdf,4,1,3,9538,4.193751310547285,1.0484378276368211,2017-2022
SBE,Building_Technology,2021,investigating_office_buildings_evacuations_using_unannounced_fire_drills_2021.pdf,8,3,5,11336,7.057163020465773,2.646436132674665,2017-2022
SBE,Building_Technology,2021,investigating_personalized_exit_choice_behavior_in_fire_accidents_using_the_hierarchical_bayes_estimator_of_the_random_coefficient_logit_model_2021.pdf,3,2,1,9097,3.2977904803781466,2.1985269869187642,2017-2022
SBE,Building_Technology,2021,prototyping_and_testing_a_virtual_reality_counterterrorism_serious_game_for_active_shooting_2021.pdf,5,3,2,4513,11.079104808331486,6.647462884998893,2017-2022
SBE,Building_Technology,2021,prototyping_and_validating_a_non_immersive_virtual_reality_serious_game_for_healthcare_fire_safety_training_2021.pdf,8,5,3,16104,4.967709885742672,3.1048186785891705,2017-2022
SBE,Building_Technology,2021,simulating_metro_station_evacuation_using_three_agent_based_exit_choice_models_2021.pdf,7,1,6,9319,7.511535572486318,1.0730765103551885,2017-2022
SBE,Building_Technology,2021,the_response_of_sleeping_adults_to_smoke_alarm_signals_in_the_evacuation_decision_model_2021.pdf,4,2,2,8095,4.941321803582458,2.470660901791229,2017-2022
SBE,Building_Technology,2022,automation_in_fire_safety_engineering_using_bim_and_generative_design_2022.pdf,2,1,1,2103,9.510223490252022,4.755111745126011,2017-2022
SBE,Building_Technology,2022,a_highway_vehicle_routing_dataset_during_the_2019_kincade_fire_evacuation_2022.pdf,0,0,0,4048,0.0,0.0,2017-2022
SBE,Building_Technology,2022,a_non_immersive_virtual_reality_serious_game_application_for_flood_safety_training_2022.pdf,7,2,5,12428,5.632442870936595,1.60926939169617,2017-2022
SBE,Building_Technology,2022,a_pre_evacuation_study_using_data_from_evacuation_drills_and_false_alarm_evacuations_in_a_university_library_2022.pdf,4,1,3,9111,4.39029744265174,1.097574360662935,2017-2022
SBE,Building_Technology,2022,behavioural_design_based_risk_assessment_and_mitigation_against_floods_in_historical_urban_built_environment_2022.pdf,20,10,10,8034,24.894199651481205,12.447099825740603,2017-2022
SBE,Building_Technology,2022,data_based_tools_can_prevent_crowd_crushes_2022.pdf,12,8,4,2672,44.91017964071856,29.940119760479043,2017-2022
SBE,Building_Technology,2022,digital_technologies_and_data_driven_delay_management_process_for_construction_projects_2022.pdf,15,5,10,16373,9.161424296097234,3.053808098699078,2017-2022
SBE,Building_Technology,2022,estimating_wildfire_evacuation_decision_and_departure_timing_using_large_scale_gps_data_2022.pdf,8,5,3,9397,8.513355326167925,5.320847078854954,2017-2022
SBE,Building_Technology,2022,exit_choice_in_built_environment_evacuation_combining_immersive_virtual_reality_and_discrete_choice_modelling_2022.pdf,11,3,8,12148,9.054988475469214,2.4695423114916037,2017-2022
SBE,Building_Technology,2022,exploring_home_to_school_trip_mode_choices_in_kandy_sri_lanka_2022.pdf,9,5,4,14625,6.153846153846154,3.4188034188034186,2017-2022
SBE,Building_Technology,2022,improving_the_built_environment_for_manual_wheelchair_users_2022.pdf,9,6,3,6216,14.478764478764479,9.652509652509652,2017-2022
SBE,Building_Technology,2022,investigating_a_university_library_building_evacuation_in_pakistan_during_a_semi_announced_fire_drill_2022.pdf,8,2,6,9510,8.412197686645635,2.103049421661409,2017-2022
