Unnamed: 0,File,School,Field,Year,File_Path,Maori_words
19,a_study_of_herding_behaviour_in_exit_choice_during_emergencies_based_on_random_utility_theory_2016.pdf,SBE,Building_Technology,2016,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2016\a_study_of_herding_behaviour_in_exit_choice_during_emergencies_based_on_random_utility_theory_2016.pdf,"ata, reneke, automata, iterature"
20,a_virtual_reality_experiment_on_flashing_lights_at_emergency_exit_portals_for_road_tunnel_evacuation_2016.pdf,SBE,Building_Technology,2016,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2016\a_virtual_reality_experiment_on_flashing_lights_at_emergency_exit_portals_for_road_tunnel_evacuation_2016.pdf,"kare, toa"
21,pros_and_cons_of_egress_drills_2016.pdf,SBE,Building_Technology,2016,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2016\pros_and_cons_of_egress_drills_2016.pdf,
22,an_immersive_serious_game_for_firefighting_and_evacuation_training_in_healthcare_facilities_2017.pdf,SBE,Building_Technology,2017,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2017\an_immersive_serious_game_for_firefighting_and_evacuation_training_in_healthcare_facilities_2017.pdf,"iwaka, rahouti, morimoto, inoue, rahouti"
23,a_humanoid_kicking_robot_2017.pdf,SBE,Building_Technology,2017,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2017\a_humanoid_kicking_robot_2017.pdf,
24,coverage_of_apple_surface_for_adequate_machine_vision_inspection_2017.pdf,SBE,Building_Technology,2017,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2017\coverage_of_apple_surface_for_adequate_machine_vision_inspection_2017.pdf,rotati
25,dissuasive_exit_signage_for_building_fire_evacuation_2017.pdf,SBE,Building_Technology,2017,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2017\dissuasive_exit_signage_for_building_fire_evacuation_2017.pdf,"reneke, miare, noti"
26,perivascular_spaces_segmentation_in_brain_mri_using_optimal_3d_filtering_2017.pdf,SBE,Building_Technology,2017,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2017\perivascular_spaces_segmentation_in_brain_mri_using_optimal_3d_filtering_2017.pdf,hou
27,simulating_assisted_evacuation_using_unity3d_2017.pdf,SBE,Building_Technology,2017,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2017\simulating_assisted_evacuation_using_unity3d_2017.pdf,"ahouti, nierie, rahouti, uehara, rahouti"
28,the_need_for_enhancing_earthquake_evacuee_safety_by_using_virtual_reality_serious_games_2017.pdf,SBE,Building_Technology,2017,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2017\the_need_for_enhancing_earthquake_evacuee_safety_by_using_virtual_reality_serious_games_2017.pdf,"rete, whi, ture, mea, ea"
29,a_review_2018.pdf,SBE,Building_Technology,2018,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2018\a_review_2018.pdf,"niu, rainio, kuo, neuro, ao, autonomo, atia, roihu, autonomou, iee, autono, mee, autonomo"
